t[s],Q[l/s],H_US_1[m],H_US_2[m],H_US_3[m],H_US_4[m],H_US_5[m],Sed_In[kg/s],Sed_Out[kg/s],v[m/s]
22145.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,260.2474540435898,0.0
22146.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,260.3303819794873,0.0
22147.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,269.03608370769234,0.0
22148.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,266.54282204358975,0.0
22149.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,262.3305265179487,0.0
22150.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,267.0820038846154,0.0
22151.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,261.10003050000006,0.0
22152.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,262.53789644358983,0.0
22153.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,266.3492615153847,0.0
22154.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,271.60769402564114,0.0
22155.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,273.1515417282052,0.0
22156.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,271.0869294846153,0.0
22157.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,261.2290231512821,0.0
22158.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,262.8973700846154,0.0
22159.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,265.31689099743585,0.0
22160.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,259.9340594282052,0.0
22161.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,261.3258749666666,0.0
22162.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,267.75490076153847,0.0
22163.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,263.27528964615385,0.0
22164.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,264.0771648641027,0.0
22165.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,264.2661604205129,0.0
22166.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,264.5241743435897,0.0
22167.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,262.68537794615384,0.0
22168.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,268.3217586384615,0.0
22169.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,267.6673363025641,0.0
22170.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,271.28961995641026,0.0
22171.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,266.7547855615385,0.0
22172.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,268.51989844871787,0.0
22173.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,262.6669463358974,0.0
22174.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,261.52867992051284,0.0
22175.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,263.5978571358974,0.0
22176.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,262.7637695307692,0.0
22177.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,263.58409066923076,0.0
22178.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,261.629982225641,0.0
22179.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,268.6074342871795,0.0
22180.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,261.48252934358976,0.0
22181.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.9160328128205,0.0
22182.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.3860095358974,0.0
22183.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,267.38151755128206,0.0
22184.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.8514935564104,0.0
22185.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,261.85130465128196,0.0
22186.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,265.79159082307694,0.0
22187.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,266.22945604871796,0.0
